"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"110129"	"6556000"	42	18194	0	0	"pertussis vacc in pregnancy given by other healthcre providr"	"September 2015"
"56310"	"Z25..00"	232	0	1	0	"delivery observations"	"February 2009"
"63037"	"L420000"	11	0	0	0	"puerperal pyrexia of unknown origin unspecified"	"February 2009"
"107485"	"Q014000"	3	0	0	0	"fetus or neonate affected by unspecified ectopic pregnancy"	"December 2013"
"115266"	"L21yz00"	1	0	0	0	"other multiple pregnancy nos"	"January 2021"
"18258"	"L167.00"	82	0	2	0	"liver disorder in pregnancy"	"February 2009"
"42015"	"L16y.00"	99	0	0	0	"other pregnancy complications"	"February 2009"
"113862"	"Lyu4H00"	1	0	0	0	"[x]other infection during labour"	"June 2019"
"44069"	"L18..00"	36	0	0	0	"other medical condition in pregnancy/childbirth/puerperium"	"February 2009"
"20809"	"L14..00"	2155	0	72	0	"early or threatened labour"	"February 2009"
"25028"	"L09z.00"	40	0	0	0	"complication nos following abortion/ectopic/molar pregnancy"	"February 2009"
"15523"	"L40z.00"	632	0	35	0	"major puerperal infection nos"	"February 2009"
"44734"	"62O8.00"	22	0	0	0	"pregnancy prolonged - 42 weeks"	"February 2009"
"47918"	"L090300"	54	0	0	0	"salpingitis following abortive pregnancy"	"February 2009"
"12052"	"Z257.00"	5030	0	1	0	"delivery normal"	"February 2009"
"4382"	"L42z.00"	362	0	23	0	"puerperal pyrexia nos"	"February 2009"
"95424"	"7L1dz00"	15	0	0	0	"delivery of chemotherapy for neoplasm nos"	"February 2009"
"67926"	"ZV28z00"	3239	0	0	0	"[v]unspecified antenatal screening"	"February 2009"
"3088"	"7F11.00"	3248	0	168	0	"other induction of labour"	"February 2009"
"107037"	"Lyu4C00"	2	0	0	0	"[x]other specified obstetric trauma"	"October 2013"
"98261"	"7F27y00"	3	0	0	0	"os non routine obstetric scan for fetal observations"	"December 2009"
"115701"	"L432400"	1	0	0	0	"obstetric blood-clot pulmonary embolism + p/n complication"	"July 2021"
"41588"	"L112200"	6	0	1	0	"placental abruption - not delivered"	"February 2009"
"16613"	"584C.00"	899	0	189	6468	"antenatal ultrasound result received"	"February 2009"
"34046"	"7F2..00"	73	0	0	0	"other obstetric operations"	"February 2009"
"60507"	"L35z000"	1	0	0	0	"obstetric trauma nos, unspecified"	"February 2009"
"108764"	"L29y.00"	2	0	0	0	"other problems affecting labour"	"October 2014"
"23525"	"L141.00"	578	0	208	0	"other threatened labour"	"February 2009"
"114125"	"L353100"	2	0	0	0	"obstetric laceration of cervix - delivered"	"August 2019"
"41587"	"L210z00"	429	0	1	0	"twin pregnancy nos"	"February 2009"
"11152"	"L....00"	8549	0	716	3	"complications of pregnancy, childbirth and the puerperium"	"February 2009"
